"Gene","GeneSet","Median_Tumor","Median_Normal","LogFC","p_value","adj_p"
"ACADS","GSE26030_TH1_VS_TH17_RESTIMULATED_DAY5_POST_POLARIZATION_DN",9.71994299025328,10.9638338305047,-1.24389084025142,8.14069745574486e-31,3.07196130405466e-30
"ACAN","GSE37534_UNTREATED_VS_ROSIGLITAZONE_TREATED_CD4_TCELL_PPARG1_AND_FOXP3_TRASDUCED_UP",7.48780148909772,5.20379080521807,2.28401068387965,3.94925963262792e-41,2.56701876120815e-40
"ACCS","GSE7831_CPG_VS_INFLUENZA_STIM_PDC_4H_DN",9.15894505459679,10.1595286056222,-1.00058355102541,8.75950449955134e-34,3.30547339605711e-33
"ACE2","GSE36392_EOSINOPHIL_VS_MAC_IL25_TREATED_LUNG_UP",3.85438927199699,5.72340300231825,-1.86901373032126,3.44306175094931e-44,2.5504161118143e-43
"ACKR1","GSE32164_RESTING_DIFFERENTIATED_VS_ALTERNATIVELY_ACT_M2_MACROPHAGE_UP",9.0882656613503,12.460809836643,-3.3725441752927,4.26644804764842e-50,1.93929456711292e-49
"ACKR2","GSE40274_FOXP3_VS_FOXP3_AND_EOS_TRANSDUCED_ACTIVATED_CD4_TCELL_DN",6.6971114223023,8.19412390597472,-1.49701248367242,8.05017622966496e-26,1.78892805103666e-25
"ACKR3","GSE35543_IN_VITRO_ITREG_VS_CONVERTED_EX_ITREG_UP",10.2703845221934,11.9861586775841,-1.7157741553907,6.68952272062499e-23,1.40127896989934e-22
"ACKR4","GSE37532_WT_VS_PPARG_KO_VISCERAL_ADIPOSE_TISSUE_TREG_UP",6.21399397143871,8.06669368582336,-1.85269971438465,3.40579368931824e-30,8.32527346277791e-30
"ACO1","GSE36476_CTRL_VS_TSST_ACT_72H_MEMORY_CD4_TCELL_YOUNG_DN",11.3515537659615,12.6437301962675,-1.292176430306,5.01693648645942e-36,1.11487477476876e-35
"ACOT7","GSE39556_CD8A_DC_VS_NK_CELL_MOUSE_3H_POST_POLYIC_INJ_UP",10.575242624006,9.3489647692298,1.2262778547762,1.88846154528715e-38,4.42122173543699e-38
"ACSL1","GSE39556_CD8A_DC_VS_NK_CELL_UP",12.2465898822191,14.4215313102223,-2.1749414280032,1.37505754613147e-38,5.00020925865989e-38
"ACSL4","GSE32164_ALTERNATIVELY_ACT_M2_VS_CMYC_INHIBITED_MACROPHAGE_DN",10.8643644101725,12.1553785663913,-1.2910141562188,2.28013148643306e-40,1.03642340292412e-39
"ACSL5","GSE13547_CTRL_VS_ANTI_IGM_STIM_BCELL_2H_UP",9.75096908198795,11.0063766276429,-1.25540754565495,2.9937292128336e-34,7.36295563156371e-34
"ACSM2A","GSE46606_UNSTIM_VS_CD40L_IL2_IL5_3DAY_STIMULATED_IRF4_KO_BCELL_UP",2.71762148018043,4.1873829769723,-1.46976149679187,4.24393742123574e-48,5.14931073776603e-47
"ACSM3","GSE5503_LIVER_DC_VS_MLN_DC_ACTIVATED_ALLOGENIC_TCELL_UP",7.14287783517552,9.04556854422058,-1.90269070904506,2.22342749871649e-29,7.05849999592537e-29
"ACSM5","GSE13738_RESTING_VS_TCR_ACTIVATED_CD4_TCELL_UP",6.15709055112095,9.03952928179944,-2.88243873067849,4.90639853657819e-54,7.93201096746807e-53
"ACSS2","GSE5503_MLN_DC_VS_PLN_DC_ACTIVATED_ALLOGENIC_TCELL_UP",11.153354789697,12.4419948788849,-1.2886400891879,2.52364488388441e-51,1.66560562336371e-50
"ACSS3","GSE43863_NAIVE_VS_LY6C_LOW_CXCR5NEG_CD4_EFF_TCELL_D6_LCMV_DN",9.8905871245773,11.0414914005164,-1.1509042759391,1.02263550936192e-22,2.99159044529756e-22
"ACTA2","GSE21360_NAIVE_VS_TERTIARY_MEMORY_CD8_TCELL_DN",12.5899342494437,14.4660843224124,-1.8761500729687,7.79253461173152e-45,6.4937788431096e-44
"ACTA2-AS1","GSE23114_PERITONEAL_CAVITY_B1A_BCELL_VS_SPLEEN_BCELL_UP",6.19522536217193,9.28178696260924,-3.08656160043731,1.50631809465359e-45,1.49839010468173e-44
"ACTG1P25","GSE26488_HDAC7_KO_VS_VP16_TRANSGENIC_HDAC7_KO_DOUBLE_POSITIVE_THYMOCYTE_UP",5.58997049796588,4.3592450839914,1.23072541397448,1.26437388049277e-43,1.83820510317794e-42
"ACTG2","GSE2405_0H_VS_3H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP",9.34658032752119,13.5492705524984,-4.20269022497721,1.77166837917503e-42,1.06836971956313e-41
"ACTL8","GSE25846_IL10_POS_VS_NEG_CD8_TCELL_DAY7_POST_CORONAVIRUS_BRAIN_UP",4.28102680173269,2.71762148018043,1.56340532155226,6.77993410432533e-30,2.85936351356329e-29
"ACVR1C","GSE45365_CD8A_DC_VS_CD11B_DC_UP",6.09117218098524,11.010739256057,-4.91956707507176,9.49643494801636e-55,1.09488308812424e-53
"ACVRL1","GSE7509_UNSTIM_VS_IFNA_STIM_IMMATURE_DC_UP",10.2466582505323,11.3923510721929,-1.1456928216606,7.70913339996922e-30,1.8903217514993e-29
"ADAM12","GSE6259_CD4_TCELL_VS_CD8_TCELL_UP",12.2341574809602,10.7308601888081,1.5032972921521,3.79945144582812e-19,6.86114532935952e-19
"ADAM19","GSE39110_DAY3_VS_DAY6_POST_IMMUNIZATION_CD8_TCELL_DN",10.27431918981,8.62319831312651,1.65112087668349,9.70786745722394e-41,2.39700431042566e-40
"ADAM33","GSE13522_WT_VS_IFNG_KO_SKIN_UP",7.3498407252001,10.8320576588109,-3.4822169336108,3.78489688114948e-61,1.28686493959082e-59
"ADAM8","GOLDRATH_EFF_VS_MEMORY_CD8_TCELL_UP",10.0956993559755,7.96660611847598,2.12909323749952,2.02200347086704e-48,6.5225918415066e-48
"ADAMDEC1","GSE12845_IGD_POS_BLOOD_VS_PRE_GC_TONSIL_BCELL_DN",7.86626428510418,5.42279680168986,2.44346748341432,7.07201850773192e-30,1.53739532776781e-29
"ADAMTS1","GSE25088_WT_VS_STAT6_KO_MACROPHAGE_DN",10.9626427319789,13.5339073538367,-2.5712646218578,1.2083960098876e-53,4.78524819915489e-53
"ADAMTS14","GSE40274_CTRL_VS_EOS_TRANSDUCED_ACTIVATED_CD4_TCELL_UP",8.34558020216047,5.1327774377879,3.21280276437257,8.04279273654231e-55,3.02478944222135e-54
"ADAMTS18","GSE23505_IL6_IL1_VS_IL6_IL1_IL23_TREATED_CD4_TCELL_UP",6.0019182320952,8.41243204479221,-2.41051381269701,2.3731704791483e-36,1.03181325180361e-35
"ADAMTS3","GSE45365_HEALTHY_VS_MCMV_INFECTION_CD11B_DC_IFNAR_KO_DN",6.68067223085792,8.31836520812191,-1.63769297726399,2.06899800998327e-40,7.59958884436162e-40
"ADAMTS4","GSE46606_IRF4MID_VS_WT_CD40L_IL2_IL5_DAY3_STIMULATED_BCELL_UP",10.8592682918356,9.4374003304806,1.421867961355,1.28715444466969e-16,2.97841551731707e-16
"ADAMTS5","GSE2585_THYMIC_MACROPHAGE_VS_MTEC_DN",9.29047930954585,12.6783245388116,-3.38784522926575,1.24858419401039e-66,1.22985543110023e-64
"ADAMTS8","GSE29618_PRE_VS_DAY7_FLU_VACCINE_PDC_UP",5.78696961144669,7.48609090437521,-1.69912129292852,9.3768024645139e-24,2.61493927883627e-23
"ADAMTS9","GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_C57BL6_DN",9.48280626131296,11.0774274087425,-1.59462114742954,3.22102788370314e-41,1.59210806823041e-40
"ADAMTS9-AS2","GSE13485_DAY1_VS_DAY7_YF17D_VACCINE_PBMC_UP",5.00474326191031,8.4121304273495,-3.40738716543919,1.78563348878168e-63,1.61599830734742e-61
"ADAMTSL1","GSE36392_TYPE_2_MYELOID_VS_MAC_IL25_TREATED_LUNG_UP",8.42351572263569,9.46201038988727,-1.03849466725158,1.12905802428158e-17,2.65660711595667e-17
"ADAMTSL2","GSE29614_CTRL_VS_TIV_FLU_VACCINE_PBMC_2007_DN",8.92258691208367,7.26810928792704,1.65447762415663,1.70127414937267e-35,5.62028067203473e-35
"ADAMTSL4","GSE29614_CTRL_VS_TIV_FLU_VACCINE_PBMC_2007_DN",8.41902188319157,10.305699297808,-1.88667741461643,2.97486807918219e-43,1.22300132144157e-42
"ADAMTSL4-AS2","GSE26928_CENTR_MEMORY_VS_CXCR5_POS_CD4_TCELL_UP",4.50446894606049,5.60299236903375,-1.09852342297326,7.40705035433028e-26,2.96282014173211e-25
"ADAP1","GSE14415_INDUCED_TREG_VS_TCONV_UP",7.32049816388556,6.2677999591637,1.05269820472186,7.66992717177232e-19,1.21897056837096e-18
"ADCK5","CAO_BLOOD_FLUZONE_AGE_05_14YO_30DY_UP",9.08557486953125,8.06851154594951,1.01706332358174,5.02912959671208e-33,1.34110122578989e-32
"ADCY4","GSE35543_IN_VITRO_ITREG_VS_CONVERTED_EX_ITREG_UP",8.84033774115507,10.9100265898004,-2.06968884864533,6.98118705065477e-53,3.56219544379564e-52
"ADCY5","GSE13306_TREG_VS_TCONV_UP",8.6627002571394,11.0418858371385,-2.3791855799991,1.51448669122727e-33,5.87977186005882e-33
"ADCY8","GSE12963_UNINF_VS_ENV_AND_NEF_AND_VPR_DEFICIENT_HIV1_INF_CD4_TCELL_DN",3.25785043262757,4.38009004693417,-1.1222396143066,2.79739282885101e-35,1.07100182590296e-34
"ADCYAP1R1","GSE22443_IL2_VS_IL12_TREATED_ACT_CD8_TCELL_DN",6.46151026432953,9.4794938799778,-3.01798361564827,5.23916056810354e-62,2.61958028405177e-60
"ADD2","GSE32986_UNSTIM_VS_GMCSF_AND_CURDLAN_LOWDOSE_STIM_DC_UP",7.42507202528286,8.569422002658,-1.14434997737514,1.88153296164756e-21,4.51114529358873e-21
"ADD3","GARCIA_PINERES_PBMC_HPV_16_L1_VLP_AGE_18_25YO_12MO_CORRELATED_WITH_ANTIBODY_RESPONSE_NEGATIVE",11.5538534626371,13.0940497818946,-1.5401963192575,3.48130208156596e-49,1.39252083262638e-48
"ADGRA2","HARALAMBIEVA_PBMC_M_M_R_II_AGE_11_22YO_VACCINATED_VS_UNVACCINATED_LOW_ANTIBODY_RESPONDERS_TO_TREATMENT_7YR_DN",10.6176104460662,12.1608469812658,-1.5432365351996,1.22960852699241e-40,4.50856459897216e-40
"ADGRA3","GSE39556_CD8A_DC_VS_NK_CELL_UP",10.6947546596088,11.7448326010167,-1.0500779414079,4.33974728106698e-41,1.7018616788498e-40
"ADGRB2","GSE26351_WNT_VS_BMP_PATHWAY_STIM_HEMATOPOIETIC_PROGENITORS_UP",10.2401130220672,8.84912841075098,1.39098461131622,2.60035922535747e-20,6.5502719727359e-20
"ADGRB3","GARCIA_PINERES_PBMC_HPV_16_L1_VLP_AGE_18_25YO_12MO_CORRELATED_WITH_ANTIBODY_RESPONSE_POSITIVE",4.41500714940866,6.42790839119107,-2.01290124178241,2.43144746350462e-53,1.27650991833992e-52
"ADGRD1","HOWARD_DENDRITIC_CELL_INACT_MONOV_INFLUENZA_A_INDONESIA_05_2005_H5N1_AGE_18_49YO_1DY_DN",6.99271589964389,9.71743096723054,-2.72471506758665,7.26091916905923e-43,3.72122107414286e-42
"ADGRD2","GSE45365_WT_VS_IFNAR_KO_CD8A_DC_DN",3.53830559082956,7.73632703986908,-4.19802144903952,1.12769165805753e-36,7.48035466511493e-36
"ADGRF1","GSE4811_CLASSSICALY_ACTIVATED_VS_TYPE_2_ACTIVATED_MACROPHAGE_UP",5.27982616453688,7.38877113790221,-2.10894497336533,1.53662291217991e-21,3.92035845543335e-21
"ADGRF5","GSE37534_UNTREATED_VS_ROSIGLITAZONE_TREATED_CD4_TCELL_PPARG1_AND_FOXP3_TRASDUCED_UP",10.8294850907375,12.5996222438378,-1.7701371531003,2.46791101133791e-50,2.40621323605446e-49
"ADGRG2","GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_C57BL6_DN",6.16600012087313,8.06263958249494,-1.89663946162181,1.09069887881417e-35,3.93106054239272e-35
"ADGRG3","GSE40666_WT_VS_STAT1_KO_CD8_TCELL_WITH_IFNA_STIM_90MIN_DN",4.76180851893192,6.60462001555187,-1.84281149661995,6.576971345736e-36,2.0553035455425e-35
"ADGRG4","GSE34205_RSV_VS_FLU_INF_INFANT_PBMC_UP",2.71762148018043,4.39774072232665,-1.68011924214622,1.91123991069655e-34,1.15868919585978e-33
"ADGRL2","GSE23502_WT_VS_HDC_KO_MYELOID_DERIVED_SUPPRESSOR_CELL_COLON_TUMOR_UP",10.6097902456662,12.1812175165654,-1.5714272708992,6.84631856199024e-44,3.33966759121475e-43
"ADGRL3","GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_C57BL6_DN",6.2541875396496,9.33669719459573,-3.08250965494613,3.53360394267767e-52,2.91101658134875e-51
"ADGRL4","GSE10240_CTRL_VS_IL17_AND_IL22_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_DN",10.5032709172529,12.1770419138572,-1.6737709966043,6.28312730615487e-44,3.06494014934384e-43
"ADH1A","GSE32255_WT_VS_JMJD2D_KNOCKDOWN_4H_LPS_STIM_DC_UP",3.40643699232414,5.99524198431528,-2.58880499199114,3.40848973467889e-60,1.32078977218807e-58
"ADH1B","GSE28449_WT_VS_LRF_KO_GERMINAL_CENTER_BCELL_UP",8.97687050592351,15.1879609566279,-6.21109045070439,5.42628784431931e-58,9.81664800926858e-57
"ADH1C","GSE45365_WT_VS_IFNAR_KO_BCELL_DN",5.17002802093805,9.56021860632437,-4.39019058538632,8.17742997459837e-61,1.26441588677707e-59
"ADH4","GSE21063_3H_VS_16H_ANTI_IGM_STIM_NFATC1_KOBCELL_DN",3.45645650083306,6.19423621157901,-2.73777971074595,2.3018116849048e-55,2.09255607718618e-54
"ADH6","GSE37301_COMMON_LYMPHOID_PROGENITOR_VS_RAG2_KO_NK_CELL_UP",4.19778187799583,5.25568874640214,-1.05790686840631,3.4790049135532e-38,2.12001861919648e-37
"ADHFE1","GSE40274_CTRL_VS_FOXP3_TRANSDUCED_ACTIVATED_CD4_TCELL_UP",6.30126438545661,7.76960210387054,-1.46833771841393,5.38582904921224e-46,2.07147271123548e-45
"ADIPOQ","GSE29614_CTRL_VS_DAY7_TIV_FLU_VACCINE_PBMC_DN",7.89072386278987,14.1117416946723,-6.22101783188243,1.00717162170637e-50,4.52056099975185e-50
"ADM","GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_C57BL6_UP",8.50296308534312,10.6016052885935,-2.09864220325038,1.49707570055357e-30,4.32748444691266e-30
"ADM2","GSE10240_CTRL_VS_IL17_AND_IL22_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_DN",9.51144964699555,7.73842472594902,1.77302492104653,2.76368206876792e-44,1.38184103438396e-43
"ADM5","GSE1112_HY_CD8AB_VS_HY_CD8AA_THYMOCYTE_RTOC_CULTURE_DN",5.44517161598297,6.47257704443909,-1.02740542845612,2.38243294583597e-21,6.1492526034415e-21
"ADRA1A","GSE22025_PROGESTERONE_VS_TGFB1_AND_PROGESTERONE_TREATED_CD4_TCELL_DN",4.13923666786099,7.61728595684465,-3.47804928898366,5.53080014429574e-61,1.99195584500729e-59
"ADRA2A","GSE36476_CTRL_VS_TSST_ACT_72H_MEMORY_CD4_TCELL_OLD_UP",9.83671686727142,11.4945949085089,-1.65787804123748,7.91758464835142e-33,3.33549310717783e-32
"ADRA2B","GSE8921_UNSTIM_0H_VS_TLR1_2_STIM_MONOCYTE_24H_UP",5.67506170267616,6.82299705129048,-1.14793534861432,3.04901844670699e-27,9.48054173272954e-27
"ADRB1","GSE9316_IL6_KO_VS_IFNG_KO_INVIVO_EXPANDED_CD4_TCELL_UP",4.73200292050691,7.20132247822068,-2.46931955771377,5.48168673871232e-35,2.3326326547712e-34
"ADRB2","GSE40274_CTRL_VS_EOS_TRANSDUCED_ACTIVATED_CD4_TCELL_UP",6.8936910848795,9.81061743427147,-2.91692634939197,4.6413994748877e-62,1.00370263644447e-60
"ADTRP","GSE13411_PLASMA_CELL_VS_MEMORY_BCELL_UP",6.11977609967529,7.52055412946367,-1.40077802978838,1.50909296529417e-24,3.16422718529423e-24
"AFAP1L1","GSE5503_MLN_DC_VS_PLN_DC_ACTIVATED_ALLOGENIC_TCELL_UP",9.37122239483026,10.6488619226257,-1.27763952779544,4.54800620199112e-32,1.7656965254789e-31
"AFAP1L2","GSE32423_CTRL_VS_IL7_MEMORY_CD8_TCELL_UP",10.1093079412037,11.4159705541052,-1.3066626129015,5.61991114328157e-33,2.35753844280319e-32
"AFF2","GSE12366_GC_VS_MEMORY_BCELL_UP",6.18583956770705,7.53468035220218,-1.34884078449513,3.58269165092591e-27,9.71743762853876e-27
"AFP","GSE37534_UNTREATED_VS_ROSIGLITAZONE_TREATED_CD4_TCELL_PPARG1_AND_FOXP3_TRASDUCED_UP",4.2818805748737,7.18868620747361,-2.90680563259991,9.70592783006112e-24,2.42648195751528e-23
"AGMAT","HOFT_CD4_POSITIVE_ALPHA_BETA_MEMORY_T_CELL_BCG_VACCINE_AGE_18_45YO_ID_7DY_TOP_100_DEG_EX_VIVO_UP",7.16137653584776,6.0851157223558,1.07626081349196,4.03712485757377e-38,1.41299370015082e-37
"AGMO","GSE20366_EX_VIVO_VS_HOMEOSTATIC_CONVERSION_NAIVE_CD4_TCELL_DN",4.69326380063519,6.55615390584044,-1.86289010520525,5.6345797403317e-49,5.36626641936352e-48
"AGPAT2","GSE6269_FLU_VS_STREP_PNEUMO_INF_PBMC_DN",11.3533362105924,12.4769298037575,-1.1235935931651,5.0636707452064e-12,9.16790913868949e-12
"AGR2","GSE29618_PRE_VS_DAY7_POST_LAIV_FLU_VACCINE_PDC_UP",14.2283179220301,12.2707715772736,1.9575463447565,2.16313243227604e-17,5.11765477879942e-17
"AGR3","GSE45365_WT_VS_IFNAR_KO_CD11B_DC_MCMV_INFECTION_DN",12.280990529749,10.0592821710603,2.2217083586887,3.90182394219146e-15,7.80364788438291e-15
"AGTR1","GSE5503_PLN_DC_VS_SPLEEN_DC_ACTIVATED_ALLOGENIC_TCELL_UP",7.45230199688286,9.95758836626422,-2.50528636938136,7.75381924868672e-24,1.98815878171454e-23
"AGXT","GSE10325_MYELOID_VS_LUPUS_MYELOID_UP",3.37829600305883,4.62075965810928,-1.24246365505045,4.72050767662779e-26,1.48467580152003e-25
"AHNAK","GSE33292_WT_VS_TCF1_KO_DN3_THYMOCYTE_DN",16.2545347861204,17.7279772212064,-1.473442435086,3.86457543086586e-52,1.74784206986888e-51
"AIF1L","GSE26351_WNT_VS_BMP_PATHWAY_STIM_HEMATOPOIETIC_PROGENITORS_UP",10.9716394101582,12.6086607269239,-1.6370213167657,5.72967329967536e-31,2.15133016346301e-30
"AIFM2","GSE45365_WT_VS_IFNAR_KO_BCELL_MCMV_INFECTION_DN",10.041687224756,11.4388450498174,-1.3971578250614,2.19754693422074e-26,4.82449959122025e-26
"AJAP1","GSE2585_CD80_HIGH_VS_LOW_AIRE_KO_MTEC_DN",5.70905735913291,7.10372734854414,-1.39466998941123,1.38883149935956e-31,4.99979339769441e-31
"AJM1","GSE19825_NAIVE_VS_IL2RALOW_DAY3_EFF_CD8_TCELL_UP",7.98813922406604,6.34059283104478,1.64754639302126,3.41148751455931e-45,2.72919001164745e-44
"AK4","GSE7509_UNSTIM_VS_IFNA_STIM_IMMATURE_DC_UP",11.039864895803,12.3423778881477,-1.3025129923447,1.6103626939716e-37,5.24099858583485e-37
"AK5","GSE45365_WT_VS_IFNAR_KO_BCELL_DN",8.26010091929327,12.0176497428197,-3.75754882352643,8.89919545647329e-36,2.34839880101378e-35
"AK8","GSE23321_CENTRAL_MEMORY_VS_NAIVE_CD8_TCELL_UP",7.9416537801609,6.86620252022422,1.07545125993668,1.13408456659538e-21,2.96951090463791e-21
"AKAIN1","GSE19941_UNSTIM_VS_LPS_STIM_IL10_KO_NFKBP50_KO_MACROPHAGE_UP",2.71762148018043,3.7437274757821,-1.02610599560167,5.97965893028495e-42,2.97488031781676e-41
"AKAP12","GSE27241_WT_VS_RORGT_KO_TH17_POLARIZED_CD4_TCELL_UP",10.62813511119,13.256689143069,-2.628554031879,8.11670894314448e-51,2.73938926831126e-50
"AKAP3","GSE17301_ACD3_ACD28_VS_ACD3_ACD28_AND_IFNA5_STIM_CD8_TCELL_UP",6.15313148293663,7.25144970716004,-1.09831822422341,8.08006140950276e-23,1.75067997205893e-22
"AKAP6","GSE39110_DAY3_VS_DAY6_POST_IMMUNIZATION_CD8_TCELL_DN",7.38014048489732,9.38780491699953,-2.00766443210221,2.51797992607907e-53,8.25567188878384e-53
"AKR1B15","GSE39110_DAY3_VS_DAY6_POST_IMMUNIZATION_CD8_TCELL_DN",5.22704308305029,6.74022989776162,-1.51318681471133,2.35623271276718e-21,4.06247019442617e-21
"AKR1C1","GSE24634_IL4_VS_CTRL_TREATED_NAIVE_CD4_TCELL_DAY7_UP",7.48258560979363,11.5827849431443,-4.10019933335067,1.13738673237631e-53,5.92638350027656e-53
